job_title,company,location,url,description,posted,salary_min,salary_max,is_remote,source,score
"Wordpress Developer- Unpaid, Remote",Healthletic Lifestyle,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4450153578,,,,,True,jobspy/linkedin,10
Junior C++ Engineer,Harmonic,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4434985321,,,,,False,jobspy/linkedin,8
Python Developer Intern,Artmac,"Hyderabad, Telangana, India",https://www.linkedin.com/jobs/view/4453094684,,,,,False,jobspy/linkedin,3
Python Developer Intern,Zenithbyte,,https://www.linkedin.com/jobs/view/4453128094,,,,,False,jobspy/linkedin,3
Robotics Data & Interface Engineering Intern,Pace Robotics®,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4450317783,,2026-08-11,,,False,jobspy/linkedin,0
Young Graduate Trainee,Infineon Technologies,"Bengaluru East, Karnataka, India",https://www.linkedin.com/jobs/view/4452464262,,2026-08-11,,,False,jobspy/linkedin,0
Trainee- Technology,GKN Aerospace,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4451672450,,2026-08-11,,,False,jobspy/linkedin,0
DevOps Intern (AI Infrastructure),peopleHum,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4449869353,,2026-08-11,,,False,jobspy/linkedin,0
Software Engineer,Capgemini,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4446748225,,2026-08-11,,,False,jobspy/linkedin,0
Software Engineer Intern,Curer,,https://www.linkedin.com/jobs/view/4451683117,,2026-08-11,,,False,jobspy/linkedin,0
Software Development Engineer 1,WEX,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4451679111,,2026-08-11,,,False,jobspy/linkedin,0
Full Stack Developer Intern,Multiplier AI,"Noida, Uttar Pradesh, India",https://www.linkedin.com/jobs/view/4447525184,,2026-08-11,,,False,jobspy/linkedin,0
Software Engr II,Honeywell Technologies,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4452434812,,2026-08-11,,,False,jobspy/linkedin,0
Robotics Systems Intern,Healthcare Technology Innovation Centre,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/4451621667,,2026-08-11,,,False,jobspy/linkedin,0
SDE I (Frontend),Navi,"Bengaluru, Karnataka, India",https://www.linkedin.com/jobs/view/4451667922,,2026-08-11,,,False,jobspy/linkedin,0
